,Name,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review
19747,LADIES ONLY! Privacy in a shared space :),64227412440,unconfirmed,J,Brooklyn,Bushwick,40.69382,-73.90925,United States,US,False,strict,Shared room,2007.0,$933 ,$187 ,1.0,117.0,5/23/2019
19748,Minimalistic 1 BR in little Italy/ China town,20077918294,unconfirmed,Sara,Manhattan,Chinatown,40.7152,-73.99947,United States,US,False,moderate,Entire home/apt,2015.0,$500 ,$100 ,6.0,39.0,5/25/2019
19749,Luxury immaculate 2 BR apartment Prime Brooklyn,40885052774,unconfirmed,Kylie,Brooklyn,Gowanus,40.67876,-73.9904,United States,US,True,strict,Entire home/apt,2013.0,$575 ,$115 ,5.0,40.0,6/12/2019
19750,Cute Two Bed - East Village,54806907786,verified,Rachel,Manhattan,East Village,40.72461,-73.98172,United States,US,True,strict,Private room,2020.0,$285 ,$57 ,2.0,37.0,5/26/2019
19751,Ground Floor apt with Backyard @Lower East Side,2925396117,unconfirmed,Ha,Manhattan,Lower East Side,40.71248,-73.98662,United States,US,True,strict,Entire home/apt,2010.0,$283 ,$57 ,1.0,73.0,6/16/2019
19752,big cozy room in Bed-Stuy with separate entrance,61493945891,verified,William,Brooklyn,Bedford-Stuyvesant,40.68186,-73.92173,United States,US,True,flexible,Private room,2009.0,"$1,012 ",$202 ,2.0,0.0,
19753,Spacious & Cozy Bushwick Walk-up 3mins from Train,35490831348,unconfirmed,Chérie,Brooklyn,Bushwick,40.68844,-73.90531,United States,US,True,strict,Private room,2007.0,$823 ,$165 ,1.0,74.0,6/24/2019
19754,Cozy Quiet Room in the Big Apple on Broadway!!!,75234279669,verified,Mark & Will,Manhattan,Harlem,40.82914,-73.94736,United States,US,True,strict,Private room,2012.0,$359 ,$72 ,4.0,153.0,7/1/2019
19755,Massive Brooklyn Brick 2 Floor Oasis,72985750101,verified,Austin,Brooklyn,Fort Greene,40.68718,-73.97289,United States,US,False,strict,Entire home/apt,2009.0,$552 ,$110 ,2.0,2.0,7/3/2019
19756,Private room in Red Hook Artist House,33035300160,unconfirmed,Lynn,Brooklyn,Red Hook,40.67749,-74.00761,United States,US,True,strict,Private room,2010.0,"$1,002 ",$200 ,5.0,6.0,11/1/2018
19757,Modern brand new apartment in NYC!,22171488686,unconfirmed,Haley,Manhattan,Murray Hill,40.74686,-73.97514,United States,US,False,flexible,Entire home/apt,2012.0,$307 ,$61 ,1.0,17.0,6/8/2019
19758,Sunny and spacious  1-bedroom in Brooklyn,78321303290,verified,Jamie,Brooklyn,Fort Greene,40.6967,-73.97477,United States,US,False,strict,Private room,2008.0,$550 ,$110 ,1.0,53.0,6/1/2018
19759,"Beautiful Garden Townhouse Apt, Close to Parks.",58309987499,unconfirmed,Matthew,Queens,Kew Gardens Hills,40.72712,-73.8308,United States,US,True,moderate,Entire home/apt,2012.0,$377 ,$75 ,3.0,4.0,3/18/2018
19760,Sweet two bedroom in Crown Heights Bk,67346040612,unconfirmed,Maura,Brooklyn,Crown Heights,40.67034,-73.93902,United States,US,False,moderate,Entire home/apt,2012.0,$271 ,$54 ,1.0,9.0,1/21/2019
19761,Charming 2BR--20 min to Manhattan,31523614946,verified,Dorion,Brooklyn,Bushwick,40.68442,-73.9083,United States,US,True,moderate,Entire home/apt,2014.0,$453 ,$91 ,3.0,126.0,7/3/2019
19762,Gorgeous Spacious Bedroom In Ridgewood Queens,78362637058,verified,Mark,Queens,Ridgewood,40.70735,-73.89343,United States,US,False,moderate,Private room,2020.0,"$1,001 ",$200 ,7.0,0.0,
19763,Apartment with backyard in East Williamsburg,21894974543,unconfirmed,Guillermo,Brooklyn,Williamsburg,40.70653,-73.93864,United States,US,True,strict,Entire home/apt,2022.0,$723 ,$145 ,4.0,91.0,6/22/2019
19764,Manhattan low price UWS Columbia big cozy bedroom,28468203228,verified,Tiffany,Manhattan,Upper West Side,40.80258,-73.9676,United States,US,False,flexible,Private room,2003.0,$643 ,$129 ,2.0,8.0,8/4/2017
19765,"Beautiful & centrally located, big 1 bedroom apt.",28911937919,verified,Michelle,Manhattan,Midtown,40.74665,-73.98042,United States,US,False,strict,Entire home/apt,2018.0,$376 ,$75 ,2.0,11.0,12/7/2018
19766,Luxury NYC 1 Bed w/Gorgeous Views + Pool,30903412687,verified,Robert,Manhattan,Hell's Kitchen,40.75968,-73.99797,United States,US,False,flexible,Entire home/apt,2022.0,$255 ,$51 ,2.0,4.0,1/2/2017
19767,Williamsburg 2 BR Apartment! 1 stop to Manhattan,37805445148,verified,Caroline & Georg,Brooklyn,Williamsburg,40.70944,-73.96161,United States,US,False,flexible,Entire home/apt,2008.0,$993 ,$199 ,2.0,23.0,6/8/2019
19768,*OH SO ZEN*~ Chill Bushwick Yoga Spot!!,21360230095,unconfirmed,Tim,Brooklyn,Bushwick,40.69748,-73.92588,United States,US,True,moderate,Entire home/apt,2021.0,$948 ,$190 ,2.0,84.0,6/23/2019
19769,"Single Bed  room in townhouse, near subway",7184699900,verified,Susy,Brooklyn,Bushwick,40.68224,-73.90739,United States,US,True,strict,Private room,2021.0,$827 ,$165 ,2.0,106.0,6/24/2019
19770,Upper East Side Gem Best Location,68350358008,verified,Corporate Housing,Manhattan,Upper East Side,40.77789,-73.95473,United States,US,False,strict,Entire home/apt,2003.0,$746 ,$149 ,30.0,1.0,5/30/2019
19771,SleepEasyNY: PRIVATE SUITE | 5 STOPS TO MANHATTAN,14361347500,unconfirmed,Giedre & Andre,Brooklyn,East Flatbush,40.66048,-73.93335,United States,US,False,flexible,Entire home/apt,2005.0,$513 ,$103 ,1.0,127.0,7/6/2019
19772,1BR apartment with a spectacular view!,29264805237,unconfirmed,Courtney,Manhattan,Hell's Kitchen,40.7659,-73.98371,United States,US,False,flexible,Entire home/apt,2016.0,"$1,178 ",$236 ,15.0,1.0,4/14/2019
19773,1.5 BATHRM SUNNY SPACIOUS ROOM BY SUBWAY,51256717787,verified,Golden&Mavy,Manhattan,Harlem,40.82284,-73.95546,United States,US,True,flexible,Private room,2011.0,"$1,200 ",$240 ,30.0,4.0,6/15/2019
19774,Big bright room in fantastic location,63537485888,verified,Nathan,Brooklyn,Williamsburg,40.7121,-73.95892,United States,US,False,strict,Private room,2015.0,$831 ,$166 ,2.0,19.0,4/24/2019
19775,Modern Light Filled 1 Bedroom in East Williamsburg,91291313608,verified,Silvana,Brooklyn,Williamsburg,40.70687,-73.9425,United States,US,False,flexible,Entire home/apt,2003.0,$694 ,$139 ,3.0,19.0,3/26/2018
19776,Financial District(FIDI) Studio,818450745,verified,Nina,Manhattan,Financial District,40.70959,-74.00646,United States,US,True,flexible,Entire home/apt,2015.0,$389 ,$78 ,3.0,2.0,1/3/2017
19777,Fashion Designer Studio - Entire Apartment,69701339836,verified,Calixto,Manhattan,West Village,40.73428,-73.99969,United States,US,True,flexible,Entire home/apt,2011.0,$934 ,$187 ,30.0,3.0,1/2/2019
19778,Huge Brooklyn Backyard Studio w/ King size bed,41794062979,verified,Sira,Brooklyn,Bedford-Stuyvesant,40.68858,-73.92212,United States,US,True,flexible,Entire home/apt,2016.0,$991 ,$198 ,1.0,122.0,6/30/2019
19779,Delightful studio apartment.,81660809575,verified,Edward,Staten Island,Castleton Corners,40.62063,-74.13001,United States,US,False,moderate,Entire home/apt,2003.0,$335 ,$67 ,2.0,52.0,6/30/2019
19780,Charming 1BD Astoria Penthouse,78047831305,verified,Allison,Queens,Astoria,40.75732,-73.92019,United States,US,False,flexible,Entire home/apt,2021.0,$806 ,$161 ,2.0,67.0,6/24/2019
19781,Sunny bedroom in Alphabet City,38572723818,verified,Amanda,Manhattan,East Village,40.72117,-73.97839,United States,US,True,strict,Private room,2016.0,$78 ,$16 ,6.0,10.0,6/9/2019
19782,"Double bed, Modern Skylight Room Near Train",42899227121,unconfirmed,Susy,Brooklyn,Bushwick,40.68315,-73.90908,United States,US,True,strict,Private room,2011.0,$526 ,$105 ,2.0,44.0,3/10/2019
19783,Kid- (and Adult-) Friendly Uptown 2-Bedroom,83954783960,verified,Yolanda,Manhattan,Washington Heights,40.8349,-73.94829,United States,US,True,moderate,Entire home/apt,2016.0,$930 ,$186 ,3.0,36.0,1/1/2019
19784,Bedroom in shared apt next to Grand Central,31757847899,unconfirmed,Dora,Manhattan,Murray Hill,40.7487,-73.97842,United States,US,False,moderate,Private room,2011.0,$626 ,$125 ,5.0,0.0,
19785,Gorgeous luxury place Williamsburg,44425456490,unconfirmed,Ducrot,Brooklyn,Williamsburg,40.7158,-73.94259,United States,US,False,moderate,Entire home/apt,2006.0,$994 ,$199 ,1.0,17.0,7/7/2019
19786,Cozy room in the heart of Park Slope.,9748515736,verified,Vadzim,Brooklyn,Park Slope,40.67538,-73.98117,United States,US,False,strict,Private room,2020.0,$104 ,$21 ,2.0,7.0,5/1/2017
19787,FLUSHING APT!! BEST DEAL IN NYC!!!,93201272626,verified,Kevin,Queens,Flushing,40.75957,-73.82206,United States,US,False,strict,Entire home/apt,2022.0,$135 ,$27 ,1.0,68.0,12/24/2017
19788,"Cozy Apt steps to Park, Subway, Restaurants, Bars",29052421233,unconfirmed,Tanya,Brooklyn,Windsor Terrace,40.65815,-73.98172,United States,US,True,strict,Entire home/apt,2005.0,$623 ,$125 ,2.0,87.0,6/6/2019
19789,Room in Queens Close to Train Station!,32910084321,unconfirmed,Oscar,Queens,Corona,40.7507,-73.85774,United States,US,True,flexible,Private room,2014.0,$437 ,$87 ,1.0,43.0,6/8/2019
19790,"Sunny, 1 Bedroom in Bedstuy, Brooklyn",14529751386,unconfirmed,Daisy,Brooklyn,Bedford-Stuyvesant,40.68434,-73.95399,United States,US,False,flexible,Entire home/apt,2005.0,$160 ,$32 ,7.0,1.0,11/7/2016
19791,Cozy bedroom apt near to LGA airport. Free Parking,82743999272,verified,Tashi,Queens,Jackson Heights,40.75082,-73.89447,United States,US,True,flexible,Entire home/apt,2018.0,$925 ,$185 ,2.0,171.0,6/23/2019
19792,Beautiful Renovated Apartment NYC.,66418110126,verified,Rony,Bronx,Kingsbridge,40.88297,-73.90727,United States,US,True,flexible,Entire home/apt,2014.0,$148 ,$30 ,3.0,54.0,6/24/2019
19793,Affordable Private Spacious Room in Brooklyn,97941351696,verified,Peter,Brooklyn,East Flatbush,40.66011,-73.93202,United States,US,False,moderate,Private room,2019.0,$790 ,$158 ,2.0,119.0,6/18/2019
19794,Artsy charming room in Bushwick !,29060694936,verified,Maria,Brooklyn,Bushwick,40.69889,-73.92937,United States,US,False,strict,Private room,2012.0,$709 ,$142 ,2.0,72.0,6/3/2019
19795,"Stunning 1 Br, West Village Luxury w/ great views",57116641310,unconfirmed,Kevin,Manhattan,Greenwich Village,40.73317,-73.99813,United States,US,True,moderate,Entire home/apt,2014.0,$740 ,$148 ,365.0,15.0,4/24/2018
19796,Private and Cozy Bedroom in Williamsburg,55114678056,unconfirmed,Pauline,Brooklyn,Williamsburg,40.70688,-73.96745,United States,US,True,strict,Private room,2007.0,$208 ,$42 ,1.0,154.0,7/6/2019
19797,Stylish & Peaceful Retreat in LES Dream Location!,34751811395,verified,Davis & Coco,Manhattan,Chinatown,40.71454,-73.99271,United States,US,False,strict,Entire home/apt,2016.0,$329 ,$66 ,7.0,58.0,6/16/2019
19798,Great Brooklyn location next to subway and cafes,20599707449,verified,Audrey,Brooklyn,Clinton Hill,40.68866,-73.96147,United States,US,False,flexible,Private room,2014.0,$884 ,$177 ,20.0,24.0,5/1/2019
19799,Cozy room in the heart of Astoria,66465315911,verified,Hebert,Queens,Astoria,40.75927,-73.9092,United States,US,True,moderate,Private room,2003.0,$865 ,$173 ,1.0,94.0,4/16/2019
19800,Private & comfortable room near Prospect Park,20668821634,verified,Shani & Emily,Brooklyn,Prospect-Lefferts Gardens,40.65783,-73.9563,United States,US,True,strict,Private room,2022.0,$758 ,$152 ,2.0,90.0,6/23/2019
19801,Charming Fort Greene Apartment,15527195454,verified,Aubrey,Brooklyn,Fort Greene,40.69012,-73.97252,United States,US,False,moderate,Entire home/apt,2017.0,$722 ,$144 ,2.0,5.0,4/14/2019
19802,Cozy 3BR apartment on Quiet Block,69251590872,verified,Paula,Brooklyn,Bedford-Stuyvesant,40.68562,-73.94042,United States,US,True,flexible,Entire home/apt,2007.0,"$1,144 ",$229 ,2.0,34.0,6/3/2019
19803,5 Star Luxury 2 BR Suite Heart of Manhattan,36316899001,unconfirmed,Alyssa,Manhattan,Midtown,40.7611,-73.97412,United States,US,True,strict,Entire home/apt,2005.0,$204 ,$41 ,2.0,3.0,5/31/2019
19804,5 Star Luxury Suite Heart of Manhattan,86629843824,verified,Alyssa,Manhattan,Midtown,40.76042,-73.97345,United States,US,False,strict,Entire home/apt,2013.0,$678 ,$136 ,1.0,12.0,5/22/2019
19805,A Nice Place to Stay in Bed Stuy,53023409946,unconfirmed,Baron,Brooklyn,Bedford-Stuyvesant,40.68898,-73.94756,United States,US,False,moderate,Private room,2006.0,$87 ,$17 ,1.0,59.0,3/2/2018
19806,"Entire Flat in Crown Heights, Near Subway",40889264440,verified,Ben,Brooklyn,Crown Heights,40.66958,-73.95081,United States,US,False,moderate,Entire home/apt,2004.0,$902 ,$180 ,5.0,1.0,9/3/2017
19807,Cozy Private Room close to Central Park/Met Museum,70675467234,unconfirmed,Francis,Manhattan,Upper East Side,40.77502,-73.95536,United States,US,False,moderate,Private room,2014.0,$605 ,$121 ,2.0,8.0,12/5/2018
19808,"Classic Brownstone, a Private Studio Apartment",29323505542,unconfirmed,Jacob,Manhattan,Harlem,40.80783,-73.95419,United States,US,True,flexible,Private room,2010.0,$211 ,$42 ,1.0,141.0,6/10/2019
19809,"Brownstone Sanctuary, a Private Studio Apartment",6332591826,unconfirmed,Jacob,Manhattan,Harlem,40.80986,-73.95349,United States,US,False,strict,Private room,2018.0,$552 ,$110 ,1.0,143.0,6/21/2019
19810,Large private room in heart of BK,84613996680,unconfirmed,Jenima,Brooklyn,Prospect-Lefferts Gardens,40.66197,-73.94668,United States,US,True,strict,Private room,2015.0,$892 ,$178 ,2.0,74.0,7/4/2019
19811,1 Bd Kips Bay  Luxury/Doorman. - Pool & Gym.,42818121305,unconfirmed,Henry,Manhattan,Kips Bay,40.74411,-73.98011,United States,US,False,flexible,Shared room,2003.0,"$1,167 ",$233 ,4.0,0.0,
19812,Cozy private room with King sizebed,38831977464,unconfirmed,Kary,Manhattan,East Village,40.72524,-73.97777,United States,US,True,moderate,Private room,2019.0,$315 ,$63 ,1.0,209.0,7/6/2019
19813,Big Apple Experience,23305528768,unconfirmed,Gail,Queens,Maspeth,40.71402,-73.90853,United States,US,False,moderate,Entire home/apt,2010.0,$564 ,$113 ,5.0,25.0,6/21/2019
19814,"Cozy, spacious room in Williamsburg",71530301178,unconfirmed,Helena,Brooklyn,Williamsburg,40.71368,-73.94236,United States,US,True,moderate,Private room,2014.0,$650 ,$130 ,5.0,26.0,5/22/2019
19815,Clean Apartment in A Warm Home,79247947766,unconfirmed,AGood,Queens,Astoria,40.77204,-73.93344,United States,US,False,moderate,Entire home/apt,2015.0,$744 ,$149 ,1.0,131.0,7/2/2019
19816,Manhattan - Upper East Side Lovely Private Bedroom,30278513820,verified,Yoko,Manhattan,Upper East Side,40.77097,-73.94862,United States,US,True,strict,Private room,2016.0,$81 ,$16 ,1.0,27.0,6/30/2017
19817,A lovely unique space in the heart of Brooklyn,39144956584,unconfirmed,Segun,Brooklyn,Crown Heights,40.67638,-73.91578,United States,US,True,moderate,Private room,2007.0,$111 ,$22 ,4.0,13.0,5/21/2018
19818,PRIVATE ROOM - BEST PRICE,86654857827,unconfirmed,Diana,Brooklyn,Bushwick,40.696,-73.91303,United States,US,True,moderate,Private room,2011.0,$479 ,$96 ,4.0,17.0,5/19/2019
19819,"Large Room w Private Backyard, 20 mins to City",45802091885,verified,Hannah,Brooklyn,Bushwick,40.69702,-73.93269,United States,US,True,strict,Private room,2006.0,"$1,099 ",$220 ,1.0,1.0,11/29/2016
19820,Gorgeous Sanctuary Upper East Side,92236465645,verified,Dorothy,Manhattan,East Harlem,40.786,-73.94571,United States,US,True,moderate,Private room,2013.0,$538 ,$108 ,2.0,81.0,5/26/2019
19821,Private bedroom & bathroom in 2 bedroom 2 bath Apt,60998656661,verified,Eugenie,Brooklyn,Williamsburg,40.71805,-73.96416,United States,US,True,moderate,Private room,2019.0,$848 ,$170 ,1.0,38.0,10/30/2017
19822,Gorgeous 1BR brownstone in Harlem close to trains,67135172572,verified,Patricia,Manhattan,Harlem,40.8065,-73.94941,United States,US,False,strict,Entire home/apt,2019.0,$430 ,$86 ,15.0,0.0,
19823,Huge Room next to subway - 15min from Times Square,46391891733,verified,Anthony,Manhattan,Washington Heights,40.8451,-73.94101,United States,US,True,moderate,Private room,2013.0,$122 ,$24 ,5.0,3.0,5/6/2017
19824,Great Studio In Midtown West,53936043364,unconfirmed,Jeniffer,Manhattan,Hell's Kitchen,40.76313,-73.9943,United States,US,False,flexible,Entire home/apt,2021.0,$577 ,$115 ,30.0,6.0,5/9/2019
19825,"1 Bedroom, Brand New, Ideal UWS Location",22302456268,unconfirmed,Chris,Manhattan,Upper West Side,40.78146,-73.97917,United States,US,True,moderate,Entire home/apt,2009.0,$616 ,$123 ,2.0,16.0,7/2/2019
19826,Room in Stuytown Apartment,18953363170,unconfirmed,Caroline,Manhattan,Gramercy,40.73267,-73.98259,United States,US,True,strict,Private room,2014.0,$520 ,$104 ,3.0,1.0,11/29/2016
19827,"Cozy Private Room in Sunset Park,BK",33067319551,unconfirmed,William,Brooklyn,Sunset Park,40.64759,-73.99812,United States,US,True,moderate,Private room,2021.0,"$1,000 ",$200 ,2.0,1.0,11/10/2016
19828,"Spacious, Cozy Home Away From Home",35149793272,unconfirmed,Anabelle,Queens,Astoria,40.76422,-73.92491,United States,US,True,flexible,Private room,2014.0,"$1,091 ",$218 ,5.0,7.0,6/22/2017
19829,A cozy and private place,21684635787,verified,Luis,Manhattan,Harlem,40.82514,-73.95489,United States,US,False,strict,Private room,2021.0,$139 ,$28 ,4.0,41.0,6/9/2019
19830,Stylish Parkside Midcentury Apt,72845178801,verified,Alex,Brooklyn,Windsor Terrace,40.65739,-73.9806,United States,US,True,strict,Entire home/apt,2005.0,"$1,040 ",$208 ,2.0,32.0,8/28/2017
19831,Great Bedroom in a great location. Fun hosts.,46876053221,verified,V.Stephan,Manhattan,Upper East Side,40.7844,-73.94856,United States,US,True,strict,Private room,2014.0,$667 ,$133 ,2.0,42.0,6/13/2019
19832,Cosy Holidays in NYC,93657392195,verified,Elena,Brooklyn,Crown Heights,40.67432,-73.95329,United States,US,True,strict,Private room,2021.0,$582 ,$116 ,30.0,1.0,1/2/2017
19833,Quiet&convenient/1B/ UpperWestLuxury/ 2Sub nearby,36653500594,unconfirmed,Rylee,Manhattan,Upper West Side,40.79369,-73.96539,United States,US,False,strict,Entire home/apt,2015.0,$982 ,$196 ,4.0,1.0,1/1/2017
19834,PRIVATE BEDROOM Bushwick close to L and J trains,59384619843,verified,Patrick,Brooklyn,Bushwick,40.69092,-73.91195,United States,US,True,flexible,Private room,2012.0,$270 ,$54 ,1.0,4.0,11/26/2016
19835,Brooklyn Stay,90737894888,unconfirmed,Bianca,Brooklyn,Bedford-Stuyvesant,40.68537,-73.95043,United States,US,False,moderate,Private room,2004.0,$620 ,$124 ,1.0,1.0,1/2/2017
19836,Charming 2 Bedroom Space in Downtown Brooklyn,82917965906,unconfirmed,Theo,Brooklyn,Park Slope,40.68241,-73.97957,United States,US,True,moderate,Private room,2020.0,$841 ,$168 ,15.0,4.0,5/24/2018
19837,Large bright and quiet room with private bathroom,26335352373,unconfirmed,Nora,Manhattan,Chinatown,40.71622,-73.9912,United States,US,True,flexible,Private room,2004.0,$675 ,$135 ,5.0,25.0,7/4/2019
19838,Modern Contemporary Home near JFK,91344897805,verified,Shannon,Queens,South Ozone Park,40.66996,-73.8223,United States,US,True,strict,Private room,2006.0,$422 ,$84 ,1.0,31.0,6/16/2019
19839,"Spacious, bright room, prime Williamsburg location",41597524404,unconfirmed,Claudia,Brooklyn,Williamsburg,40.71497,-73.96145,United States,US,True,strict,Private room,2013.0,$900 ,$180 ,3.0,0.0,
19840,"BKlyn:Artsy, old fashioned at affordable price !",59846732160,verified,Ale,Brooklyn,Cypress Hills,40.68148,-73.8904,United States,US,True,moderate,Entire home/apt,2014.0,$479 ,$96 ,4.0,54.0,7/7/2019
19841,Bushwick Chill Spot (Luxury Rental),91206010961,unconfirmed,Jed,Brooklyn,Bushwick,40.69912,-73.93508,United States,US,True,flexible,Private room,2012.0,$169 ,$34 ,3.0,72.0,6/30/2019
19842,Evergreen Cozy Bed for Female Travelers 紐約民宿,79676895225,verified,Tong,Brooklyn,Cypress Hills,40.6825,-73.87165,United States,US,True,strict,Shared room,2014.0,$734 ,$147 ,1.0,64.0,6/3/2019
19843,A Stunning Private 1 Bedroom in Downtown Flushing,34790949804,verified,Alan,Queens,Flushing,40.76092,-73.82194,United States,US,False,flexible,Entire home/apt,2014.0,$596 ,$119 ,30.0,4.0,6/9/2019
19844,Spacious & Sunny 1 Bedroom Gramercy/Flatiron Apt,20967040719,unconfirmed,Forrest,Manhattan,Midtown,40.74226,-73.98344,United States,US,True,flexible,Entire home/apt,2005.0,$893 ,$179 ,2.0,47.0,6/14/2019
19845,Nice bedroom in lovely Greenpoint,21204583536,verified,Aline,Brooklyn,Greenpoint,40.72311,-73.9411,United States,US,True,strict,Private room,2020.0,"$1,154 ",$231 ,1.0,86.0,5/10/2019
19846,Crown Heights Duplex Apt.,2624809937,unconfirmed,Martha,Brooklyn,Crown Heights,40.67567,-73.93744,United States,US,False,moderate,Entire home/apt,2019.0,"$1,145 ",$229 ,4.0,61.0,5/31/2019
19847,Entire JR. One bedroom PRIME West Village,6194481447,unconfirmed,Risa,Manhattan,West Village,40.73278,-74.00053,United States,US,True,strict,Entire home/apt,2005.0,"$1,017 ",$203 ,7.0,12.0,4/28/2019
19848,Charming Loft,41447434721,verified,Emanuele,Manhattan,East Harlem,40.79084,-73.93962,United States,US,False,strict,Entire home/apt,2017.0,$68 ,$14 ,3.0,6.0,1/6/2019
19849,Bright and quiet room with private bathroom,86321497984,verified,Nora,Manhattan,Chinatown,40.71542,-73.99045,United States,US,False,flexible,Private room,2022.0,$290 ,$58 ,6.0,117.0,6/17/2019
19850,Perfect Location_Upper West Side_*Central Park*,30295343717,verified,Lina,Manhattan,Upper West Side,40.77409,-73.98031,United States,US,False,strict,Private room,2019.0,$643 ,$129 ,7.0,71.0,7/7/2019
19851,"Chill, No Luxury Apt w/ Yard - 1 block to train!",10789629885,verified,Ed,Brooklyn,Bedford-Stuyvesant,40.69527,-73.9365,United States,US,True,moderate,Entire home/apt,2019.0,$270 ,$54 ,3.0,44.0,6/24/2019
19852,"Modern, Spacious & Pristine Room in Gramercy",81675697806,verified,Arthur,Manhattan,Kips Bay,40.73726,-73.97932,United States,US,True,moderate,Private room,2022.0,"$1,002 ",$200 ,3.0,61.0,6/25/2019
19853,Private room in Astoria 10min ride to Central Park,79134139405,verified,Julian,Queens,Astoria,40.76785,-73.91596,United States,US,True,flexible,Private room,2006.0,$416 ,$83 ,1.0,19.0,6/9/2019
19854,Delightful place to stay,93298295102,verified,Grand,Manhattan,Midtown,40.74771,-73.98873,United States,US,False,flexible,Private room,2017.0,$407 ,$81 ,1.0,2.0,7/29/2017
19855,Comfy room near trendy Columbia University,55450295291,unconfirmed,Andrea,Manhattan,Morningside Heights,40.81676,-73.96069,United States,US,True,strict,Private room,2018.0,$907 ,$181 ,3.0,6.0,10/2/2018
19856,2 Level Brownstone! Private room! Manhattan in 15!,16881487444,verified,Josh,Brooklyn,Bedford-Stuyvesant,40.69411,-73.94086,United States,US,False,flexible,Private room,2003.0,$733 ,$147 ,3.0,91.0,7/5/2019
19857,Amazing 2 bed 2 bath in Central Harlem.,64448558794,unconfirmed,Siobhan,Manhattan,Harlem,40.80811,-73.94486,United States,US,True,flexible,Entire home/apt,2020.0,$618 ,$124 ,7.0,3.0,9/8/2018
19858,Charming West Village Brownstone Apartment,94183284962,verified,Ro,Manhattan,West Village,40.73845,-74.00551,United States,US,False,strict,Entire home/apt,2006.0,$842 ,$168 ,10.0,8.0,2/28/2019
19859,"Big Room, Refinished Place - 35 min to Times Sq.",51227999219,unconfirmed,Daniel,Manhattan,Inwood,40.86859,-73.91948,United States,US,False,flexible,Private room,2007.0,$966 ,$193 ,5.0,30.0,1/2/2019
19860,2 Room/1 Bath Entire Apt! Next to Colleges/Train!,33925077367,verified,Ny,Manhattan,Harlem,40.81462,-73.95248,United States,US,True,moderate,Entire home/apt,2016.0,$949 ,$190 ,3.0,13.0,11/25/2018
19861,Manhattan apt near Empire State & UN wfree US cell,92397109328,unconfirmed,Vanessa,Manhattan,Murray Hill,40.74494,-73.97554,United States,US,False,strict,Entire home/apt,2006.0,$212 ,$42 ,7.0,95.0,6/30/2019
19862,Studio apartment near Monte Fiore hospital,63165476840,verified,Max,Bronx,Norwood,40.87529,-73.8762,United States,US,True,flexible,Private room,2017.0,$790 ,$158 ,1.0,1.0,12/24/2016
19863,650 Ocean Avenue,59629996951,unconfirmed,Matthew,Brooklyn,Flatbush,40.64569,-73.95938,United States,US,False,moderate,Private room,2005.0,$521 ,$104 ,2.0,0.0,
19864,"Comfortable, cozy apartment in Bed Stuy",21378079702,unconfirmed,Aryanna,Brooklyn,Bedford-Stuyvesant,40.68084,-73.92038,United States,US,True,flexible,Entire home/apt,2009.0,$721 ,$144 ,2.0,107.0,6/23/2019
19865,Apartment in Luxury Building ***GREAT PRICE***,77243309138,verified,Akshay,Manhattan,Theater District,40.76126,-73.98636,United States,US,False,strict,Entire home/apt,2014.0,$328 ,$66 ,10.0,5.0,1/2/2019
19866,Private room in beautiful Williamsburg apartment,49938366472,unconfirmed,Alexa,Brooklyn,Williamsburg,40.70781,-73.95324,United States,US,True,strict,Private room,2021.0,$669 ,$134 ,2.0,6.0,12/31/2017
19867,Super spacious & sunny 1-bedroom Fort Greene Apt.,59487991569,unconfirmed,Lidia,Brooklyn,Fort Greene,40.68386,-73.96813,United States,US,False,moderate,Entire home/apt,2009.0,$432 ,$86 ,2.0,1.0,10/8/2017
19868,Renovated rooms. Newly furnished 5 min from nyc.,9000941790,verified,Jeff,Bronx,Kingsbridge,40.88546,-73.90526,United States,US,True,strict,Private room,2008.0,$902 ,$180 ,1.0,0.0,
19869,Bright Modern Quiet Chelsea true 1bed,44764696472,verified,Michael,Manhattan,Chelsea,40.74318,-74.00137,United States,US,True,strict,Entire home/apt,2007.0,"$1,027 ",$205 ,4.0,46.0,6/22/2019
19870,Newly renovated ground floor apt in Williamsburg,46016639929,verified,Jennifer,Brooklyn,Williamsburg,40.71463,-73.96474,United States,US,True,moderate,Entire home/apt,2019.0,$991 ,$198 ,2.0,53.0,7/6/2019
19871,900 sq. ft. Artist Loft in the Heart of Brooklyn,72190174607,unconfirmed,Aurora And John,Brooklyn,Bedford-Stuyvesant,40.69533,-73.95439,United States,US,True,moderate,Entire home/apt,2007.0,$248 ,$50 ,2.0,14.0,11/27/2017
19872,Brand New Apt off Lexington Ave Best Location,53099398357,unconfirmed,Corporate Housing,Manhattan,Upper East Side,40.77754,-73.95641,United States,US,True,moderate,Entire home/apt,2005.0,"$1,042 ",$208 ,30.0,11.0,4/15/2019
19873,Williamsburg Room with PRIVATE Balcony,38794096377,unconfirmed,Jessy,Brooklyn,Williamsburg,40.70852,-73.94849,United States,US,False,moderate,Private room,2012.0,$439 ,$88 ,3.0,7.0,5/26/2019
